title,authors,year,journal,doi,source,category_name,confidence,matched_terms
Predicting inter-microbial host specificity in oral biofilms using a lightweight relation-aware knowledge graph model,"Natarajan PM, Varma SR, Kodangattil Narayanan J, Odeh R.",2026,,10.3389/fcimb.2026.1775191,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Correction: MicrobiomeKG: bridging microbiome research and host health through knowledge graphs,Frontiers Production Office.,2025,,10.3389/fsysb.2025.1710604,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
KGCLMDA: a computational model for predicting latent associations of microbial drugs using knowledge graphs and contrastive learning,"Liu M, Su S, Wang G, Huang S.",2025,,10.1093/bioinformatics/btaf457,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Microbiome knowledge graph as a tool to understand bacteria-host associations,"Pudavar AE, Baksi KD, Pokhrel V, Kuntal BK.",2025,,10.1007/s00203-025-04413-0,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Neighborhood Topology-Aware Knowledge Graph Learning and Microbial Preference Inferring for Drug-Microbe Association Prediction,"Gu J, Zhang T, Gao Y, Chen S, Zhang Y, Cui H, Xuan P.",2025,,10.1021/acs.jcim.4c01544,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Knowledge graph-derived feed efficiency analysis via pig gut microbiota,"Zhang J, Jiang Q, Du Z, Geng Y, Hu Y, Tong Q, Song Y, Zhang HY, Yan X, Feng Z.",2024,,10.1038/s41598-024-64835-6,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Integrating biological knowledge for mechanistic inference in the host-associated microbiome,"Santangelo BE, Apgar M, Colorado ASB, Martin CG, Sterrett J, Wall E, Joachimiak MP, Hunter LE, Lozupone CA.",2024,,10.3389/fmicb.2024.1351678,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
A microbial knowledge graph-based deep learning model for predicting candidate microbes for target hosts,"Pan J, Zhang Z, Li Y, Yu J, You Z, Li C, Wang S, Zhu M, Ren F, Zhang X, Sun Y, Wang S.",2024,,10.1093/bib/bbae119,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Mining literature and pathway data to explore the relations of ketamine with neurotransmitters and gut microbiota using a knowledge-graph,"Liu T, Feenstra KA, Huang Z, Heringa J.",2024,,10.1093/bioinformatics/btad771,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Food4healthKG: Knowledge graphs for food recommendations based on gut microbiota and mental health,"Fu C, Huang Z, van Harmelen F, He T, Jiang X.",2023,,10.1016/j.artmed.2023.102677,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Achieving pan-microbiome biological insights via the dbBact knowledge base,"Amir A, Ozel E, Haberman Y, Shental N.",2023,,10.1093/nar/gkad527,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Comparing western (Megascops kennicottii) and whiskered (M. trichopsis) screech-owl microbiomes in southern Arizona using a novel 16S rRNA sequencing method,"Bartlow AW, Moser SK, Ellis JE, Hathcock CD, Fair JM.",2022,,10.1186/s42523-022-00196-7,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
The potential interplay between the glandular microbiome and scent marking behavior in owl monkeys (Aotus nancymaae),"Bowen M, Miles C, Hegseth R, Anderson CM, Brandon CS, Langford ML, Wolovich CK.",2021,,10.1002/ajp.23324,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Predicting the relationships between gut microbiota and mental disorders with knowledge graphs,"Liu T, Pan X, Wang X, Feenstra KA, Heringa J, Huang Z.",2020,,10.1007/s13755-020-00128-2,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Movement ecology and sex are linked to barn owl microbial community composition,"Corl A, Charter M, Rozman G, Toledo S, Turjeman S, Kamath PL, Getz WM, Nathan R, Bowie RCK.",2020,,10.1111/mec.15398,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
"Draft Genome Sequence of Multidrug-Resistant Enterococcus faecium Strain E1298, with a Sequence Type 1274 Profile, Recovered from the Cloacal Microbiome of a Tropical Screech Owl (Megascops choliba) in Rio de Janeiro, Brazil","Freitas AAR, Souza SSR, Faria AR, Planet PJ, Merquior VLC, Teixeira LM.",2019,,10.1128/MRA.00168-19,pubmed,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Microbial Interaction Extraction from Biomedical Literature using Max-Bi-LSTM,R. Zhong; X. Li; X. Sun; C. Fu; T. He; X. Jiang,2019,2019 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),10.1109/BIBM47256.2019.8983259,IEEE Xplore,MDKG-type: Microbe-Disease Associations (RDF-based),3,TECH:owl
Comparative Analysis of Graph and Relational Databases using HerbMicrobeDB,S. Chandrababu; D. R. Bastola,2018,2018 IEEE International Conference on Healthcare Informatics Workshop (ICHI-W),10.1109/ICHI-W.2018.00010,IEEE Xplore,MINERVA-type: Diet-Environment-Disease (Property Graph),8,"chemical, TECH:neo4j, TECH:graph database"
"Polarity-Aware Knowledge Graph Reveals Diet-Microbiome-Health Mechanisms with Relevance to Muscle, Immune and Metabolic Aging","Li J, Bu E, Lian A, Li Y, Tao C.",2026,,10.21203/rs.3.rs-8771108/v1,pubmed,MicrobiomeKG-type: Host-Microbiome Integration (Biolink),9,"metabolic, diet, immune, TECH:knowledge graph"
OHMI: the ontology of host-microbiome interactions,"He Y, Wang H, Zheng J, Beiting DP, Masci AM, Yu H, Liu K, Wu J, Curtis JL, Smith B, Alekseyenko AV, Obeid JS.",2019,,10.1186/s13326-019-0217-1,pubmed,MicrobiomeKG-type: Host-Microbiome Integration (Biolink),2,host-microbiome
