title,authors,year,doi,url,abstract,source_database,journal
Knowledge Graph Embedding based on Line Graph Attention Mechanism,"Liu Bo, Wu Jiahui, Wu Enju",2022,10.21203/rs.3.rs-2304993/v1,https://doi.org/10.21203/rs.3.rs-2304993/v1,"<title>Abstract</title>
        <p>The broad application prospects of knowledge graphs have spawned many research work in the field of knowledge graph completion. In these works, models based on convolution neural networks perform well on link prediction tasks by generating expressive feature embedding. Some models based on graph neural networks also obtain good knowledge graph embedding results by capturing graph structure features and node features in the knowledge graph. However, these models often rely more on the entity features in the triples and ignore the importance of the relationship features, so they cannot guarantee the generalization ability on the triples containing unseen entities. To this end, we propose a method of learning Knowledge Graph embedding on Line Graphs using Graph Attention mechanism (KG-LGAT). By transforming the neighborhood of the target triples on the knowledge graph into a line graph, and using the graph attention mechanism to fuse the relationship features on the line graph, this method cannot only reduce the difficulty of modeling the heterogeneous map structure of the knowledge graph, but strengthen the connection between the triples and the entire knowledge graph, thereby reducing the model’s dependence on entity features. The comparison results with related works on the benchmark data sets WN18RR and FB15k-237 prove the superiority of proposed method.</p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Prgnn: Modeling High-Order Proximity with Relational Graph Neural Network for Knowledge Graph Completion,Zhu Danhao,2023,10.2139/ssrn.4466295,https://doi.org/10.2139/ssrn.4466295,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Climate Knowledge Graph: Projektstart,Worthington Simon,2025,10.65527/10zsh-yea80,https://doi.org/10.65527/10zsh-yea80,"<jats:p>read this article in English Der ""Climate Knowledge Graph"" ist ein R&amp;amp;D-Projekt mit dem Ziel, das im Sechsten Sachstandsbericht des Weltklimarats (IPCC) enthaltene Wissen zum Klimawandel mithilfe von Open-Science-Methoden und FAIR-Datenprinzipien besser zugänglich zu machen.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Climate Knowledge Graph: Projektstart,Worthington Simon,2025,10.59350/31hdz-g8996,https://doi.org/10.59350/31hdz-g8996,"<jats:p>read this article in English Der ""Climate Knowledge Graph"" ist ein R&amp;amp;D-Projekt mit dem Ziel, das im Sechsten Sachstandsbericht des Weltklimarats (IPCC) enthaltene Wissen zum Klimawandel mithilfe von Open-Science-Methoden und FAIR-Datenprinzipien besser zugänglich zu machen.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
AKCLR: Attention Knowledge-aware Contrast learning for knowledge graph Recommendation,"Ma Xintao, wu shuai",2025,10.2139/ssrn.5420646,https://doi.org/10.2139/ssrn.5420646,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Knowledge Graph: A Survey,"Akinnubi Abiola, Ajiboye Jeremiah",2023,10.36227/techrxiv.22813967,https://doi.org/10.36227/techrxiv.22813967,"<jats:p>&lt;p&gt;This survey discusses the concept of knowledge graphs, including their construction, extraction, and applications. Various tools such as Zotero, Web of Science, Google Scholar, EndNote, and VosViewer are used to analyze and visualize collected data. A Boolean query mechanism ensures the gathered material is relevant to the study. The discussion includes studies on relation extraction using graph neural networks, the application of knowledge graphs in biomedical research, and the use of knowledge graph embedding in healthcare. These studies highlight the growing importance of knowledge graphs in managing and representing complex information. Notable studies discussed include the role of knowledge graphs in connecting related medical information, the application of knowledge graph technology in healthcare, and the potential benefits and limitations of using knowledge graph embedding in biomedical data analysis. This survey paper provides valuable insights into the growing importance of knowledge graphs in managing and representing complex information and how they can help provide new insights into various fields. It suggests potential future directions for research in this area, highlighting the importance of continued exploration and innovation to realize the potential of knowledge graphs fully.&lt;/p&gt;</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Knowledge Graph: A Survey,"Akinnubi Abiola, Ajiboye Jeremiah",2023,10.36227/techrxiv.22813967.v1,https://doi.org/10.36227/techrxiv.22813967.v1,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Towards a biodiversity knowledge graph,Page Roderic,2016,10.59350/r4qh8-p8888,https://doi.org/10.59350/r4qh8-p8888,"<jats:p>I've thrown together some notes on building a biodiversity knowledge graph, and in the interests of making it interactive it's in the form of a web page: http://bionames.org/~rpage/towards-knowledge-graph/. There are buttons to click that display live data, and I hope to dd more examples as I flesh out the ideas.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Towards a biodiversity knowledge graph,Page Roderic,2016,10.59350/b1v0e-7k456,https://doi.org/10.59350/b1v0e-7k456,"<jats:p>I've thrown together some notes on building a biodiversity knowledge graph, and in the interests of making it interactive it's in the form of a web page: http://bionames.org/~rpage/towards-knowledge-graph/. There are buttons to click that display live data, and I hope to dd more examples as I flesh out the ideas.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Semantic and Relational-Based Graph Neural Network for Knowledge Graph Completion,"Li Xinlu, Tian Yujie, Ji Shengwei",2023,10.2139/ssrn.4455564,https://doi.org/10.2139/ssrn.4455564,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Decoding the Microbiome-Disease Axis with Interpretable Graph Neural Networks,"Ivanov Vladimir A., Hartman Wyatt H., Soheilypour Mohammad",2025,10.1101/2025.06.23.659608,https://doi.org/10.1101/2025.06.23.659608,"<jats:title>Abstract</jats:title>
                <jats:p>The human gut microbiome is a complex ecosystem whose disruption is implicated in a wide spectrum of diseases, yet translating microbiome research into actionable therapeutics is hindered by a critical trade-off: existing models either prioritize predictive accuracy at the expense of interpretability or sacrifice performance for mechanistic insight, limiting their ability to pinpoint specific disease-driving microbial interactions and taxa. To address this, we introduce Graph neural network for Interpretable Microbiome (GIM), a graph neural network framework that integrates minimally processed taxonomic metadata as sparse node embeddings within an unweighted complete graph, enabling direct modeling of high-order microbial interactions through message passing. GIM achieves state-of-the-art classification performance on microbiome-disease prediction tasks (e.g., healthy vs. allergic states) while generating fine-grained, experimentally validated attributions at the level of taxonomic ranks, driver microbes, and putative microbe-to-microbe interactions. By bridging the gap between predictive accuracy and biological interpretability, GIM overcomes a key limitation in current approaches, offering a unified framework to both predict dysbiosis-associated disease states and identify actionable microbial targets for therapeutic intervention. This dual capability represents a critical advance toward precision microbiome engineering and scalable hypothesis generation in translational microbiome research.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
A review of Knowledge graph link prediction using graph neural networks,"Zamini Mohamad, Reza Hassan, Rabiei Minou",2022,10.21203/rs.3.rs-1762419/v1,https://doi.org/10.21203/rs.3.rs-1762419/v1,"<jats:title>Abstract</jats:title>
        <jats:p>Information extraction methods proved to be effective at triple extraction from structured or unstructured data. The organization of such triples in the form of (head entity, relation, tail entity) is called the construction of Knowledge Graphs (KGs). In order to use KGs in downstream tasks it is desirable to predict missing links in KGs. In this review we will study the current approaches and the challenges exists..</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
