id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
53,The role of bHLH transcription factor in the microbial stress response of Spodoptera litura,"Wu S, Luo Y, Zeng Z, Wang R, Yu Y, Di Q, Huang Y, Chen L.",2026,,10.1093/jee/toaf306,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
54,The application of metabolites derived from gut microbiota to the treatment of chronic kidney disease: a network pharmacology study,"Yao W, Huo J, Liu K, Tao P.",2026,,10.1097/JS9.0000000000003895,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
55,Decoding Fibromyalgia: Genetic Insights into Gut and Immune System Interactions,"Niu M, Li J, Sarafian V, Maes M.",2025,,10.2147/JPR.S525610,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
57,A multi-dimensional bioinformatic dissection of the molecular mechanisms in high-BMI-associated colorectal cancer: identification and validation of EGLN1 as a key target,"Yu X MD, Lei J MSc, Du X MSc, He Y MSc, Peng W MD, Yang R MD, He F MD.",2026,,10.1097/JS9.0000000000003801,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
58,A short-term sublethal oral exposure to microcystin-LR disrupts cecal microbiome homeostasis in mallard,"Drovetski SV, Shearn-Bochsler VI, Hofmeister EK, Karouna-Renier NK, Dusek RJ.",2025,,10.3389/ftox.2025.1634241,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
59,"AI-Driven Personalized Nutrition: Integrating Omics, Ethics, and Digital Health","Mundt C, Yusufoğlu B, Kudenko D, Mertoğlu K, Esatbeyoglu T.",2025,,10.1002/mnfr.70293,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
60,Alcohol Preference Impacts Multi-Organ Transcriptome in MetALD,"Sikhwal S, Gripshover TC, Treves RS, Hardesty JE.",2025,,10.3390/genes16101121,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
61,"[Artificial intelligence in stomatology: Innovations in clinical practice, research, education, and healthcare management]","Deng X, Xu M, DU C.",2025,,10.19723/j.issn.1671-167X.2025.05.002,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
62,"A review: Remediation of environmental pollution by alkyl polyglucosides under ""dual-carbon"" strategy and sustainable development of China","Xu J, Yang L, Wang B, Guo C, Li X, Li H, Liu M, Niu Y.",2025,,10.1007/s10653-025-02823-z,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
63,"Exogenous salicylic acid, abscisic acid, and shikimic acid enhance drought tolerance in tea by modulating antioxidant defense and osmotic regulation","Sheuli SA, Arafin MS, Sultana S, Rabbi MA, Ghosh A.",2025,,10.1371/journal.pone.0331456,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
64,Effects of the novel mitochondrial targeted compound phosundoxin against Sporothrix globosa: Microbial sensitivity test combined with transcriptomics and proteomics,"Sheng H, Zhang S, Zhu W, Chen T, Geng Y, Guo X, Zhao F, Qin Z, Wang S, Gong J.",2025,,10.1093/mmy/myaf095,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
65,"Genome mining identifies Micrococcus yunnanensis strain AZMABM 17 as a potential source of Antioxidant, Anti-Inflammatory, Antidiabetic, and Antiproliferative compounds","Irawan H, Mustopa AZ, Suryadinata RP, Manguntungi AB, Trinugroho JP, Feraliana, Mustafawi WZ, Agung MUK, Putra ABN, Palupi KD.",2025,,10.1007/s11033-025-11104-y,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
66,"Database Release: PPSDB, a Linked Open Data Knowledge Base for Protist-Prokaryote Symbioses",Seah BKB.,2025,,10.1111/jeu.70049,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
