id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
709,Describing commonalities in microbial effector delivery using the Gene Ontology,"Chibucos MC, Tseng TT, Setubal JC.",2009,,10.1016/j.tim.2009.05.001,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
724,Comparison of microbial consortia in refuse-derived fuel (RDF) preparations between Japan and Germany,"Sakka M, Kimura T, Sakka K.",2006,,10.1271/bbb.60261,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
IEEE_1,An Effective Microbial–drug Relation Extraction Model Based on Dual Graph Convolutional Networks,R. Zhang; D. Li; Y. Xiao; W. Zhao; X. Jiang; X. Shen,2023,2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),10.1109/BIBM58861.2023.10385893,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"Microbe-drug interactions, which refer to the effects of drugs on microorganisms, play a crucial role in the realm of studying antibiotic-resistant bacteria and the development of antimicrobial agents. With the rapid progress in biomedical field, numerous experimental results containing validated microbe-drug interactions have been available in scientific articles. However, since failing to employ domain knowledge, traditional natural language processing methods encounter challenges in accurately identifying microbe and drug entities. Moreover, the unstructured characteristics and semantic complexity of biomedical literature pose difficulties for conventional text mining approaches to accurately grasp the syntactic features. In this paper, we present a novel microbial-drug relation extraction model called D-GCN, in which dual graph convolutional networks are used. Specifically, the drug database Drugbank is leveraged as external domain knowledge, while the graph convolutional network-based model SemGCN is utilized to learn meaningful features from biomedical texts. In addition, the attention graph convolutional network A-GCN is introduced to capture crucial syntactic features contained in texts. The experimental results show that the proposed model achieves better performance over the selected baseline models, which means D-GCN can not only accurately recognize microbial and drug entity representations, but also effectively identify the microbe-drug interactions."
IEEE_2,Analysis of Phage-Bacteria-Food Association and its Relation to Human Health Using Knowledge Graphs,V. Verma; V. Pokhrel; B. K. Kuntal; P. Ghosh,2025,2025 IEEE Pune Section International Conference (PuneCon),10.1109/PuneCon67554.2025.11377613,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"The human gut microbiome plays a vital role in maintaining health, with phages emerging as key modulators of microbial diversity and ecological balance. This study presents a graph-based exploration of gut phage-bacteria interactions, extending the focus to include bacterial communities transmitted via food. An extensive data curation was performed from diverse resources along with computational prediction of phage-bacteria associations using state of art bioinformatics pipelines. The resulting network, comprising 50,468 nodes and 12,50,963 edges, was enriched with biological attributes such as taxonomy, pathogenicity, isolation source, host, and food processing information. The work involved identification of food-to-gut microbial transmission paths supported by literature evidence. Through a knowledge graph driven querying and network analytics, the nature of gut bacteria interaction with food as well as infecting phages was studied, enabling new insights in design of targeted phage cocktails for potential biocontrol."
IEEE_3,Comparative Analysis of Graph and Relational Databases using HerbMicrobeDB,S. Chandrababu; D. R. Bastola,2018,2018 IEEE International Conference on Healthcare Informatics Workshop (ICHI-W),10.1109/ICHI-W.2018.00010,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"Network pharmacology is an emerging approach for establishing the ""compounds-proteins/genes-diseases"" network, aiding in drug target prediction through the interactions between the small molecules and the host microbes. In recent years, considerable information on the biochemical properties, location and biological properties of herbal phytochemicals and their interactions with the host through the microbiome have been accumulated and made available as repositories accessible to the general public. However, the scattered data from thousands of experiments, publications and other diverse sources make the storage, retrieval, in particular, data integration process, a cumbersome task. Additionally, new knowledge about the phytochemical properties and associated functions is constantly being discovered. Such a dynamic nature and multiple integrated relationships between the elements has made it difficult to manage the information with relational model of these databases because of its rigid schema. In the present study, we explore the effectiveness of using graph database (Neo4j) to store and effectively manage phytochemical data from 24 culinary herbs and genomic data for human microbiome. The HerbMicrobeDB (HbMDB) provides a graphically intuitive solution and simplifies the complex model, estimating the impact of herbs on microorganisms and in turn on the host."
IEEE_4,Microbial Interaction Extraction from Biomedical Literature using Max-Bi-LSTM,R. Zhong; X. Li; X. Sun; C. Fu; T. He; X. Jiang,2019,2019 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),10.1109/BIBM47256.2019.8983259,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"Microorganisms play a vital role in various ecosystems, but their complex interaction is still unclear. With the publication of a large number of microbial literatures, many experimentally verified microbial interaction is dispersed therein. Organizing them into a database or knowledge graph can facilitate the development of microbiology research. Text mining technology is able to automatically extract and integrate these microbial interactions, as well as discover implicit information in literatures. For this purpose, we manually annotate a Microbial Interaction Corpus (MICorpus) containing 1005 abstracts, which provide a useful data source for the MIE task. On this basis, we propose an automated MIE extraction system based on Max-Bi-LSTM model. The best result of the system is precision (P) 76.313%, recall (R) of 90.121%, and an F value (F) 82.476%."
IEEE_5,Toward Multilabel Classification for Multiple Disease Prediction Using Gut Microbiota Profiles,Z. -A. Huang; P. Hu; L. Hu; Z. -H. You; K. Chen Tan; Y. -A. Huang,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2024.3453967,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"Advancements in high-throughput technologies have yielded large-scale human gut microbiota profiles, sparking considerable interest in exploring the relationship between the gut microbiome and complex human diseases. Through extracting and integrating knowledge from complex microbiome data, existing machine learning (ML)-based studies have demonstrated their effectiveness in the precise identification of high-risk individuals. However, these approaches struggle to address the heterogeneity and sparsity of microbial features and explore the intrinsic relatedness among human diseases. In this work, we reframe human gut microbiome-based disease detection as a multilabel classification (MLC) problem and integrate a range of innovative techniques within the proposed MLC framework, aptly named GutMLC. Specifically, the entity semantic similarity as priori knowledge is incorporated into multilabel feature selection and loss functions by capturing the shared attributes and inherent associations among diseases and microbes. To tackle the issue of label imbalance, both within and between labels, we adapt the focal loss (FL) function for MLC using debiased inverse weighting. Extensive experiment results consistently demonstrate the competitive performance of GutMLC in comparison with commonly used MLC and single-label classification (SLC) algorithms. This work seeks to unlock the potential of gut microbiota as robust biomarkers for multiple disease prediction."
IEEE_6,A Web-Based Network Analysis Tool for the Metaganomic Analysis of Resistomes,R. A. D. Santos; G. A. Solano; Z. B. Lara,2024,"2024 15th International Conference on Information, Intelligence, Systems & Applications (IISA)",10.1109/IISA62523.2024.10786654,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"Metagenomics is becoming increasingly popular in large-scale genomics applications as a way to study the complex system of taxonomic and functional composition of microbial communities from environmental, agricultural, and clinical settings. It allows the analysis of the presence as well as the dynamics of “resistomes” (the ensemble of genes encoding antimicrobial resistance in a given microbiome) in disparate microbial ecosystems. In this study, we explored how network analysis can aide in the study of resistomes. A web application was developed specifically to enable users to perform network analysis from the results of Taxonomic Screening (via GTDB-Tk) and the AMR Screening (via ABRicate), and provide network visualizations, centrality measures and communities. The system will enable researchers to conduct network analysis of resistomes faster in a dry lab and does not require knowledge in programming or in general network analysis applications. Outputs of the system may also be integrated with current research findings to corroborate or form new insights."
IEEE_7,MDADP: A Webserver Integrating Database and Prediction Tools for Microbe-Disease Associations,L. Wang; H. Li; Y. Wang; Y. Tan; Z. Chen; T. Pei; Q. Zou,2022,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2022.3156166,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"More and more evidence has demonstrated that microbiota play important roles in the life processes of the human body. In recent years, various computational methods have been proposed for identifying potentially disease-associated microbes to save costs in traditional biological experiments. However, prediction performances of these methods are generally limited by outdated and incomplete datasets. And moreover, until now, there are limited studies that can provide visual predictive tools for inferring possible microbe-disease associations (MDAs) as well. Hence, in this manuscript, a novel webserver called MDADP will be proposed to identify latent MDAs, in which, a new MDA database together with interactive prediction tools for MDAs studies will be designed simultaneously. Especially, in the newly constructed MDA database, 2019 known MDAs between 58 diseases and 703 microbes have been manually collected first. And then, through adopting the average ranking method and the co-confidence method respectively, eight representative computational models have been integrated together to identify potential disease-related microbes. As a result, MDADP can provide not only interactive features for users to access and capture MDAs entities, but alsoeffective tools for users to identify candidate microbes for different diseases. To our knowledge, MDADP is the first online platform that incorporates a new MDA database with comprehensive MDA prediction tools. Therefore, we believe that it will be a valuable source of information for researches in microbiology and disease-related fields. MDADP can be accessed at http://mdadp.leelab2997.cn."
IEEE_8,Learning Sparse Gaussian Bayesian Network Structure by Variable Grouping,J. Yang; H. C. M. Leung; S. M. Yiu; Y. Cai; F. Y. L. Chin,2014,2014 IEEE International Conference on Data Mining,10.1109/ICDM.2014.126,IEEE Xplore,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,"Bayesian networks (BNs) are popular for modeling conditional distributions of variables and causal relationships, especially in biological settings such as protein interactions, gene regulatory networks and microbial interactions. Previous BN structure learning algorithms treat variables with similar tendency separately. In this paper, we propose a grouped sparse Gaussian BN (GSGBN) structure learning algorithm which creates BN based on three assumptions: (i) variables follow a multivariate Gaussian distribution, (ii) the network only contains a few edges (sparse), (iii) similar variables have less-divergent sets of parents, while not-so-similar ones should have divergent sets of parents (variable grouping). We use L1 regularization to make the learned network sparse, and another term to incorporate shared information among variables. For similar variables, GSGBN tends to penalize the differences of similar variables' parent sets more, compared to those not-so-similar variables' parent sets. The similarity of variables is learned from the data by alternating optimization, without prior domain knowledge. Based on this new definition of the optimal BN, a coordinate descent algorithm and a projected gradient descent algorithm are developed to obtain edges of the network and also similarity of variables. Experimental results on both simulated and real datasets show that GSGBN has substantially superior prediction performance for structure learning when compared to several existing algorithms."
